Clase,Eluyente1,Eluyente2,pH1,pH2,Eluyente1 Gradiente,Eluyente2 Gradiente,T Gradiente,Columna Nombre,USP Code,Longitud,Tamaño de Partícula,Temperatura,Flujo,T0,Score,n_datos
Flavonoids (CHEMONTID:0000334),Flavonoids (CHEMONTID:0000334),eluent.1.h2o 0,eluent.2.acn 0,3.0,3.0,"100.0, 100.0, 91.0, 83.0, 0.0, 0.0, 100.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","0.0, 0.0, 9.0, 17.0, 100.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","0.0, 0.25, 0.4, 0.8, 1.9, 2.1, 2.11, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",Waters ACQUITY UPLC BEH C18,column.usp.code_L1,98.03921568627452,1.7,38.0,0.24,0.895845316696432,0.1408558005901478,5
Flavonoids (CHEMONTID:0000334),Flavonoids (CHEMONTID:0000334),eluent.1.h2o 0,eluent.2.h2o 0,0.0,0.0,"0.0, 0.0, 30.0, 60.0, 70.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","100.0, 100.0, 70.0, 40.0, 30.0, 100.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","0.0, 2.0, 7.7, 9.5, 10.25, 12.75, 17.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",Waters ACQUITY UPLC BEH Amide,column.usp.code_L68,100.0,1.7,40.0,0.5,0.4571959788769226,0.04690119125561383,5
Flavonoids (CHEMONTID:0000334),Flavonoids (CHEMONTID:0000334),eluent.1.h2o 0,eluent.2.h2o 0,0.0,0.0,"0.0, 0.0, 30.0, 60.0, 70.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","100.0, 100.0, 70.0, 40.0, 30.0, 100.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","0.0, 2.0, 7.7, 9.5, 10.25, 12.75, 17.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",Waters ACQUITY UPLC BEH Amide,column.usp.code_L68,100.0,1.7,40.0,0.5,0.4571959788769226,0.046119364462967126,8
Flavonoids (CHEMONTID:0000334),Flavonoids (CHEMONTID:0000334),eluent.1.h2o 0,eluent.2.acn 0,3.0,3.0,"99.0, 90.0, 75.0, 1.0, 1.0, 99.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 10.0, 25.0, 99.0, 99.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","0.0, 5.0, 8.0, 9.1, 10.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",Agilent ZORBAX RRHD Eclipse Plus C18,column.usp.code_L1,50.0,1.8,30.0,0.4,0.275625,0.01830510510129198,5
Flavonoids (CHEMONTID:0000334),Flavonoids (CHEMONTID:0000334),eluent.1.h2o 0,eluent.2.acn 0,0.0,0.0,"90.0, 90.0, 0.0, 0.0, 90.0, 90.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","10.0, 10.0, 100.0, 100.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","0.0, 0.5, 22.0, 30.0, 30.2, 35.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",Thermo Scientific Hypersil GOLD,column.usp.code_L1,200.0,1.9,40.0,0.4,1.1025,0.016968654243010563,8
Flavonoids (CHEMONTID:0000334),Flavonoids (CHEMONTID:0000334),eluent.1.h2o 0,eluent.2.acn 0,3.0,3.0,"100.0, 0.0, 100.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","0.0, 5.0, 5.5, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",Waters ACQUITY UPLC BEH C18,column.usp.code_L1,100.0,1.7,65.0,0.4,0.55125,0.01574482638487361,7
Flavonoids (CHEMONTID:0000334),Flavonoids (CHEMONTID:0000334),eluent.1.h2o 0,eluent.2.acn 0,3.0,3.0,"99.0, 90.0, 75.0, 1.0, 1.0, 99.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 10.0, 25.0, 99.0, 99.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","0.0, 5.0, 8.0, 9.1, 10.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",Agilent ZORBAX RRHD Eclipse Plus C18,column.usp.code_L1,50.0,1.8,30.0,0.4,0.275625,0.014057387717535114,7
Flavonoids (CHEMONTID:0000334),Flavonoids (CHEMONTID:0000334),eluent.1.h2o 0,eluent.2.acn 0,0.0,0.0,"95.0, 95.0, 85.0, 80.0, 80.0, 46.0, 37.0, 95.0, 95.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","5.0, 5.0, 15.0, 20.0, 20.0, 54.0, 63.0, 5.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","0.0, 10.0, 30.0, 45.0, 65.0, 95.0, 110.0, 115.0, 135.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",Merck LiChrospher RP-18,column.usp.code_L1,250.0,5.0,35.0,0.3,6.666666666666667,0.008934042615858225,9
Benzene and substituted derivatives (CHEMONTID:0002279),Benzene and substituted derivatives (CHEMONTID:0002279),eluent.1.h2o 0,eluent.2.acn 0,3.0,3.0,"95.0, 95.0, 50.0, 15.0, 15.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","5.0, 5.0, 50.0, 85.0, 85.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","0.0, 3.0, 5.0, 20.0, 23.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",Agilent ZORBAX Extend-C18,column.usp.code_L1,50.0,1.8,35.0,0.1,1.1025,1.0,7
Benzene and substituted derivatives (CHEMONTID:0002279),Benzene and substituted derivatives (CHEMONTID:0002279),eluent.1.h2o 0,eluent.2.meoh 0,3.61,3.61,"99.0, 99.0, 61.0, 0.01, 0.01, 99.0, 99.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 1.0, 39.0, 99.9, 99.9, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","0.0, 1.0, 2.0, 13.0, 15.0, 15.1, 20.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",Thermo Scientific Acclaim RSLC 120 C18,column.usp.code_L1,100.0,2.2,30.0,0.2,1.1025,0.0407668471840024,6
