Clase,Eluyente1,Eluyente2,pH1,pH2,USP Code,Longitud,Tamaño de Partícula,Temperatura,Flujo,T0,Score,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Intercepto,duration
Steroids and steroid derivatives (CHEMONTID:0000258),eluent.1.h2o 0,eluent.2.meoh 0,3.5910844174331817,3.5948145851318323,column.usp.code_L1,99.56231915503989,2.076365982540317,30.17453028537216,0.19981804041141074,1.111194968943199,0.13834797735586274,0.0,118.30750184789044,0.0,84.69413820946424,0.0,3.1195613795347117,0.0,0.013991028480915761,0.0,4.6853391820595954e-06,97.48935389776577,19.793499106479825
Steroids and steroid derivatives (CHEMONTID:0000258),eluent.1.h2o 0,eluent.2.meoh 0,4.300373297711973,4.300373297711973,column.usp.code_L1,100.0,2.2,30.0,0.2,1.1025,0.15699415096136893,0.0,120.11504216846402,0.0,84.06469012424863,0.0,3.1045843307262646,0.0,0.0140082961399249,0.0,4.741970395016892e-06,97.95016303156504,20.1
Steroids and steroid derivatives (CHEMONTID:0000258),eluent.1.h2o 0,eluent.2.meoh 0,2.9971845138267654,2.9919065536525205,column.usp.code_L1,99.79624772171087,2.825990120966078,30.040794903561356,0.3935675888876604,0.5464814040956348,0.14704259351279547,238.5840071069293,0.0,269.7694711179938,0.0,15.994665339493643,0.0,0.14508206462545262,0.0,0.00017005785695301808,0.0,95.24767759678262,10.066093634757511
Steroids and steroid derivatives (CHEMONTID:0000258),eluent.1.h2o 0,eluent.2.meoh 0,3.0294441358055395,3.0000577343161448,column.usp.code_L1,100.72245836535961,2.926422899073194,30.063585773104784,0.4018909264928371,0.5548096332014002,0.13487730927022823,244.8894713500361,0.0,270.06012401886437,0.0,15.993732405009641,0.0,0.14503904024378,0.0,0.00017294036468702405,0.0,95.80972105726016,10.111145761755955
Steroids and steroid derivatives (CHEMONTID:0000258),eluent.1.h2o 0,eluent.2.meoh 0,2.6038169248341645,0.0,column.usp.code_L1,49.99359894192725,2.018426374865569,40.011431374943484,0.6012434208752279,0.16642653283695666,0.14324435417873263,518.9604994293771,0.0,630.772077044532,0.0,39.75544964249693,0.0,0.3481201151202726,0.0,0.00039877360127905725,0.0,94.95506289042268,8.641666225781481
Steroids and steroid derivatives (CHEMONTID:0000258),eluent.1.h2o 0,eluent.2.meoh 0,2.5992131431102643,0.03432889275026637,column.usp.code_L1,49.97767126868283,1.6184252300279953,40.30403194011456,0.6005846531407003,0.18534401621475435,0.14391310321504178,515.9350647107631,0.0,633.6375680747631,0.0,40.173871862458384,0.0,0.3457953927246951,0.0,0.0003993892569071609,0.0,93.97248235224838,8.74802118563363
Hydroxy acids and derivatives (CHEMONTID:0000472),eluent.1.h2o 0,eluent.2.acn 0,3.0,3.0,column.usp.code_L1,100.0,1.746576260925513,44.657626092551304,0.4,0.55125,0.32421739740163824,242.5407315974328,0.0,271.2540931396641,0.0,16.228177229100066,0.0,0.1437549913174186,0.0,0.0001714966514683,0.0,95.32811913783532,10.01
Hydroxy acids and derivatives (CHEMONTID:0000472),eluent.1.h2o 0,eluent.2.acn 0,3.0,3.0,column.usp.code_L1,100.0,1.767326782968812,50.0,0.4,0.55125,0.4213368796874582,242.5407315974328,0.0,271.2540931396641,0.0,16.228177229100066,0.0,0.1437549913174186,0.0,0.0001714966514683,0.0,95.32811913783532,10.01
Purine nucleotides (CHEMONTID:0001506),eluent.1.h2o 0,eluent.2.acn 0,3.0,3.0,column.usp.code_L1,100.0,1.9465615943408183,40.73280797170409,0.32671920282959077,0.6859034648006269,0.17587187013869368,243.74386812135992,0.0,272.6376962253826,0.0,16.30992625087951,0.0,0.14445042238231304,0.0,0.0001722913387871877,0.0,95.3311921959212,17.33075163732388
Purine nucleotides (CHEMONTID:0001506),eluent.1.h2o 0,eluent.2.acn 0,3.0,3.0,column.usp.code_L1,100.0,1.9486156695349763,40.0,0.3628460826162559,0.609767419879397,0.19530942437386295,243.7607301983597,0.0,272.6570875590381,0.0,16.311071971479365,0.0,0.14446016891724991,0.0,0.00017230247640830996,0.0,95.33123526513326,17.433352693272067
Purine nucleotides (CHEMONTID:0001506),eluent.1.h2o 0,eluent.2.acn 0,3.0,3.0,column.usp.code_L1,100.0,1.8040818311178841,49.81631759969522,0.397959084441058,0.5550001823395561,0.1756501019353157,242.5742396943153,0.0,271.29262734199375,0.0,16.230453989955844,0.0,0.14377435950301862,0.0,0.0001715187840020092,0.0,95.3282047244051,10.213887464338312
Purine nucleotides (CHEMONTID:0001506),eluent.1.h2o 0,eluent.2.acn 0,3.0,3.0,column.usp.code_L1,100.0,1.781682609503203,48.1682609503203,0.4,0.55125,0.1873041052497228,242.5407315974328,0.0,271.2540931396641,0.0,16.228177229100066,0.0,0.1437549913174186,0.0,0.0001714966514683,0.0,95.32811913783532,10.01
Steroids and steroid derivatives (CHEMONTID:0000258),eluent.1.h2o 0,eluent.2.meoh 0,3.01855014888885,2.998671194379639,column.usp.code_L1,50.07748932078461,1.8238098895309764,35.18299721486644,0.1008189540625081,1.1063311771011823,0.14332187992542608,95.83738965614575,0.0,88.98590631727211,0.0,4.374908841341932,0.0,0.03608604018650932,0.0,4.663198931930958e-05,0.0,95.2071891538852,23.06587562982214
Steroids and steroid derivatives (CHEMONTID:0000258),eluent.1.h2o 0,eluent.2.meoh 0,2.9955920495532045,3.010579254793005,column.usp.code_L1,49.47518796646797,1.9108099168725103,34.929586905690584,0.10150096493574691,1.0968337811870894,0.1420392423599324,95.32146178450081,0.0,82.90252466724817,0.0,4.0766327815009085,0.0,0.033108472061876656,0.0,3.917989465887216e-05,0.0,95.90976777419479,22.99222762488084
Steroids and steroid derivatives (CHEMONTID:0000258),eluent.1.h2o 0,eluent.2.meoh 0,2.6235604261595045,0.0073688911415110015,column.usp.code_L1,50.482419497876116,1.7665610906863944,40.08911845594023,0.6009153878940725,0.1781869936858834,0.13813748494762018,524.3082911674593,0.0,631.3438451724401,0.0,39.86037243748156,0.0,0.34655687199330915,0.0,0.0004010604422096121,0.0,94.40001636187304,8.938149359801391
Steroids and steroid derivatives (CHEMONTID:0000258),eluent.1.h2o 0,eluent.2.meoh 0,2.605033737724723,0.025012255755777757,column.usp.code_L1,49.956756086757544,1.5707313625429589,40.21601031134451,0.5973230937885854,0.19213467568221015,0.14487682752473177,522.1885931755776,0.0,641.143640801643,0.0,39.64660776321872,0.0,0.34800638693062624,0.0,0.0004068957479599501,0.0,94.26401432657165,8.933080807676516
Steroids and steroid derivatives (CHEMONTID:0000258),eluent.1.h2o 0,eluent.2.meoh 0,3.008681008075909,2.9759942040442806,column.usp.code_L1,99.44275484821664,2.8053976395044184,40.048151717300236,0.3029525913209346,0.7276969109962137,0.15039431399815648,169.63373953413807,0.0,92.88921248390795,0.0,0.0,0.8160019466444481,0.0,0.005299390242871261,0.0,2.1665883887194676e-06,94.3737223303026,45.30602464158243
Steroids and steroid derivatives (CHEMONTID:0000258),eluent.1.h2o 0,eluent.2.meoh 0,2.9966690226179367,2.9708683086424164,column.usp.code_L1,99.30996290064743,2.72872550055156,40.086991232266456,0.29695149862255943,0.7329835816980849,0.14379426424338929,171.09764541154905,0.0,91.70206220342881,0.0,0.0,0.767035221881346,0.0,0.005415004104467724,0.0,2.1855100199628318e-06,94.85917632002726,45.09596717917751
Steroids and steroid derivatives (CHEMONTID:0000258),eluent.1.h2o 0,eluent.2.meoh 0,3.013491170588279,3.024493781511752,column.usp.code_L1,99.37724268823837,2.8022611487131086,40.04822989961694,0.40122992568056765,0.5512193513402759,0.1577931389182162,244.7072669461011,0.0,273.42645388447005,0.0,16.229532606393132,0.0,0.14639720602035758,0.0,0.00017269505624191377,0.0,95.0084915883485,10.294447871463687
Steroids and steroid derivatives (CHEMONTID:0000258),eluent.1.h2o 0,eluent.2.meoh 0,3.0636821140710153,2.9986368899687257,column.usp.code_L1,99.89194045571774,2.791407130278574,40.04355196667199,0.4007591399151829,0.5438270837154807,0.13988792642944917,246.97511213191933,0.0,271.59597085921865,0.0,16.15421874412289,0.0,0.14466183754346706,0.0,0.00017394475982561173,0.0,95.41339098355971,10.24154336707609
Steroids and steroid derivatives (CHEMONTID:0000258),eluent.1.h2o 0,eluent.2.meoh 0,3.0153428826548057,2.981662635719662,column.usp.code_L1,99.56417622374427,4.589994910517093,40.90426492155284,0.09617387130622437,2.2132051468831624,0.14869158295542398,521.2442285368528,0.0,632.3796396679961,0.0,39.97917967239151,0.0,0.35164516791107936,0.0,0.0004040478717676952,0.0,94.21265772662319,35.16640126349419
Steroids and steroid derivatives (CHEMONTID:0000258),eluent.1.h2o 0,eluent.2.meoh 0,3.0509628039876517,3.0148808156365723,column.usp.code_L1,99.89903063570272,5.160079212255935,40.70045008912732,0.10184764229900563,2.2049858464661467,0.15672641455234573,525.9332193804764,0.0,636.1191763452445,0.0,39.86656785795388,0.0,0.3474270090120648,0.0,0.000405813417230393,0.0,94.40141111488985,34.86252010984638
Fatty Acyls (CHEMONTID:0003909),eluent.1.h2o 0,eluent.2.meoh 0,3.0,3.0,column.usp.code_L1,100.0,1.6970998021111536,40.0,0.4,0.55125,0.19329254183353797,242.5407315974328,0.0,271.2540931396641,0.0,16.228177229100066,0.0,0.1437549913174186,0.0,0.0001714966514683,0.0,95.32811913783532,10.01
